Model,Average,ARC(25-shot),HellaSwag(10-shot),MMLU(5-shot),TruthfulQA(0-shot),Parameters,URL
Monero/WizardLM-30B-Uncensored-Guanaco-SuperCOT-30b,60.3,55.5,80.4,54.0,51.3,42.857142857142854,https://huggingface.co/Monero/WizardLM-30B-Uncensored-Guanaco-SuperCOT-30b
TheBloke/airoboros-13B-HF,60.2,58.3,81.0,50.0,51.6,18.571428571428573,https://huggingface.co/TheBloke/airoboros-13B-HF
NousResearch/Nous-Hermes-13b,60.2,56.6,82.1,50.4,51.5,18.571428571428573,https://huggingface.co/NousResearch/Nous-Hermes-13b
jondurbin/airoboros-13b,60.2,58.3,81.0,50.0,51.6,18.571428571428573,https://huggingface.co/jondurbin/airoboros-13b
TheBloke/Wizard-Vicuna-13B-Uncensored-HF,60.1,59.0,81.9,47.9,51.7,18.571428571428573,https://huggingface.co/TheBloke/Wizard-Vicuna-13B-Uncensored-HF
ehartford/Wizard-Vicuna-13B-Uncensored,60.1,59.0,81.9,47.9,51.7,18.571428571428573,https://huggingface.co/ehartford/Wizard-Vicuna-13B-Uncensored
openaccess-ai-collective/manticore-13b,60.1,58.7,81.6,50.8,49.2,18.571428571428573,https://huggingface.co/openaccess-ai-collective/manticore-13b
lmsys/vicuna-13b-v1.3,60.0,54.6,80.4,52.9,52.1,18.571428571428573,https://huggingface.co/lmsys/vicuna-13b-v1.3
meta-llama/Llama-2-13b-chat-hf,59.9,59.0,81.9,54.6,44.1,18.571428571428573,https://huggingface.co/meta-llama/Llama-2-13b-chat-hf
Monero/Manticore-13b-Chat-Pyg-Guanaco,59.8,56.8,82.3,47.8,52.3,18.571428571428573,https://huggingface.co/Monero/Manticore-13b-Chat-Pyg-Guanaco
jondurbin/airoboros-13b-gpt4-1.4,59.8,59.7,83.3,47.5,48.8,18.571428571428573,https://huggingface.co/jondurbin/airoboros-13b-gpt4-1.4
TehVenom/Metharme-13b-Merged,59.8,59.9,81.1,47.2,51.2,18.571428571428573,https://huggingface.co/TehVenom/Metharme-13b-Merged
openaccess-ai-collective/wizard-mega-13b,59.8,57.3,81.1,50.6,50.2,18.571428571428573,https://huggingface.co/openaccess-ai-collective/wizard-mega-13b
digitous/13B-HyperMantis,59.7,58.5,82.2,50.6,47.5,18.571428571428573,https://huggingface.co/digitous/13B-HyperMantis
Gryphe/MythoLogic-13b,59.7,58.4,81.6,49.4,49.5,18.571428571428573,https://huggingface.co/Gryphe/MythoLogic-13b
TheBloke/gpt4-alpaca-lora-13B-HF,59.6,59.6,82.1,47.5,49.0,18.571428571428573,https://huggingface.co/TheBloke/gpt4-alpaca-lora-13B-HF
TheBloke/gpt4-x-vicuna-13B-HF,59.6,53.4,80.1,51.2,53.6,18.571428571428573,https://huggingface.co/TheBloke/gpt4-x-vicuna-13B-HF
openaccess-ai-collective/manticore-13b-chat-pyg,59.5,58.5,82.0,48.8,48.8,18.571428571428573,https://huggingface.co/openaccess-ai-collective/manticore-13b-chat-pyg
Aeala/GPT4-x-Alpasta-13b,59.4,58.5,79.9,46.0,53.1,18.571428571428573,https://huggingface.co/Aeala/GPT4-x-Alpasta-13b
psmathur/orca_mini_v2_13b,59.4,55.1,79.7,50.1,52.6,18.571428571428573,https://huggingface.co/psmathur/orca_mini_v2_13b
YeungNLP/firefly-llama-13b,59.4,59.0,79.7,49.1,49.6,18.571428571428573,https://huggingface.co/YeungNLP/firefly-llama-13b
eachadea/vicuna-13b-1.1,59.2,52.7,80.1,51.9,52.1,18.571428571428573,https://huggingface.co/eachadea/vicuna-13b-1.1
TheBloke/vicuna-13B-1.1-HF,59.2,52.7,80.1,51.9,52.1,18.571428571428573,https://huggingface.co/TheBloke/vicuna-13B-1.1-HF
pillowtalks-ai/delta13b,59.2,52.7,80.1,51.9,52.1,18.571428571428573,https://huggingface.co/pillowtalks-ai/delta13b
kevinpro/Vicuna-13B-CoT,59.2,52.7,80.1,51.9,52.1,18.571428571428573,https://huggingface.co/kevinpro/Vicuna-13B-CoT
TheBloke/guanaco-13B-HF,59.1,57.8,83.8,48.3,46.7,18.571428571428573,https://huggingface.co/TheBloke/guanaco-13B-HF
dvruette/oasst-llama-13b-2-epochs,59.0,57.9,82.4,48.6,47.3,18.571428571428573,https://huggingface.co/dvruette/oasst-llama-13b-2-epochs
eachadea/vicuna-13b,58.8,51.7,79.9,50.8,52.7,18.571428571428573,https://huggingface.co/eachadea/vicuna-13b
openaccess-ai-collective/minotaur-13b,58.7,56.4,79.1,49.6,49.6,18.571428571428573,https://huggingface.co/openaccess-ai-collective/minotaur-13b
meta-llama/Llama-2-13b-hf,58.7,59.4,82.1,55.8,37.4,18.571428571428573,https://huggingface.co/meta-llama/Llama-2-13b-hf
wahaha1987/llama_13b_sharegpt94k_fastchat,58.6,53.8,79.5,51.5,49.5,18.571428571428573,https://huggingface.co/wahaha1987/llama_13b_sharegpt94k_fastchat
dvruette/llama-13b-pretrained-sft-do2,58.5,59.0,80.3,47.2,47.4,18.571428571428573,https://huggingface.co/dvruette/llama-13b-pretrained-sft-do2
xzuyn/Alpacino-SuperCOT-13B,58.4,58.4,81.7,47.9,45.4,18.571428571428573,https://huggingface.co/xzuyn/Alpacino-SuperCOT-13B
project-baize/baize-v2-13b,58.4,56.9,79.3,49.7,47.9,18.571428571428573,https://huggingface.co/project-baize/baize-v2-13b
Open-Orca/OpenOrca-Preview1-13B,58.1,54.9,78.2,50.1,49.1,18.571428571428573,https://huggingface.co/Open-Orca/OpenOrca-Preview1-13B
junelee/wizard-vicuna-13b,58.1,54.7,79.2,48.9,49.6,18.571428571428573,https://huggingface.co/junelee/wizard-vicuna-13b
TheBloke/wizard-vicuna-13B-HF,58.1,54.7,79.2,48.9,49.6,18.571428571428573,https://huggingface.co/TheBloke/wizard-vicuna-13B-HF
haonan-li/bactrian-x-llama-13b-merged,58.1,56.4,79.3,48.4,48.4,18.571428571428573,https://huggingface.co/haonan-li/bactrian-x-llama-13b-merged
camel-ai/CAMEL-13B-Combined-Data,58.0,55.6,79.2,49.7,47.4,18.571428571428573,https://huggingface.co/camel-ai/CAMEL-13B-Combined-Data
ausboss/llama-13b-supercot,57.9,56.1,81.7,45.4,48.5,18.571428571428573,https://huggingface.co/ausboss/llama-13b-supercot
TheBloke/tulu-13B-fp16,57.9,53.9,80.7,53.2,43.8,18.571428571428573,https://huggingface.co/TheBloke/tulu-13B-fp16
dvruette/llama-13b-pretrained,57.8,56.3,79.3,47.0,48.4,18.571428571428573,https://huggingface.co/dvruette/llama-13b-pretrained
dvruette/llama-13b-pretrained-dropout,57.7,56.4,79.3,46.6,48.6,18.571428571428573,https://huggingface.co/dvruette/llama-13b-pretrained-dropout
mosaicml/mpt-30b-instruct,57.5,58.4,84.3,49.2,38.0,42.857142857142854,https://huggingface.co/mosaicml/mpt-30b-instruct
PocketDoc/Dans-PileOfSets-Mk1-llama-13b-merged,57.5,58.8,81.8,48.1,41.2,18.571428571428573,https://huggingface.co/PocketDoc/Dans-PileOfSets-Mk1-llama-13b-merged
digitous/Alpacino13b,57.4,58.5,81.3,47.9,41.7,18.571428571428573,https://huggingface.co/digitous/Alpacino13b
mosaicml/mpt-30b-instruct,57.4,58.4,84.1,48.9,38.1,42.857142857142854,https://huggingface.co/mosaicml/mpt-30b-instruct
camel-ai/CAMEL-13B-Role-Playing-Data,56.8,54.9,79.2,46.6,46.3,18.571428571428573,https://huggingface.co/camel-ai/CAMEL-13B-Role-Playing-Data
dvruette/llama-13b-pretrained-sft-epoch-1,56.8,57.3,80.0,45.5,44.5,18.571428571428573,https://huggingface.co/dvruette/llama-13b-pretrained-sft-epoch-1
TheBloke/koala-13B-HF,56.5,53.0,77.6,45.3,50.2,18.571428571428573,https://huggingface.co/TheBloke/koala-13B-HF
Ejafa/vicuna_7B_vanilla_1.1,56.4,53.7,77.5,45.6,48.9,10.0,https://huggingface.co/Ejafa/vicuna_7B_vanilla_1.1
eachadea/vicuna-7b-1.1,56.4,53.7,77.5,45.6,48.9,10.0,https://huggingface.co/eachadea/vicuna-7b-1.1
meta-llama/Llama-2-7b-chat-hf,56.4,52.9,78.6,48.3,45.6,10.0,https://huggingface.co/meta-llama/Llama-2-7b-chat-hf
mosaicml/mpt-30b,56.2,55.9,82.4,47.9,38.4,42.857142857142854,https://huggingface.co/mosaicml/mpt-30b
llama-13b,56.1,56.2,80.9,47.7,39.5,18.571428571428573,
dvruette/oasst-llama-13b-1000-steps,56.0,58.1,81.5,48.6,36.0,18.571428571428573,https://huggingface.co/dvruette/oasst-llama-13b-1000-steps
HuggingFaceH4/starchat-beta,55.8,52.5,80.6,42.8,47.2,0.0,https://huggingface.co/HuggingFaceH4/starchat-beta
mosaicml/mpt-30b,55.7,54.9,82.3,47.4,38.2,42.857142857142854,https://huggingface.co/mosaicml/mpt-30b
lmsys/vicuna-7b-v1.3,55.6,50.4,76.9,48.1,47.0,10.0,https://huggingface.co/lmsys/vicuna-7b-v1.3
llama-anon/instruct-13b,55.3,56.1,80.3,47.9,37.0,18.571428571428573,https://huggingface.co/llama-anon/instruct-13b
shibing624/chinese-alpaca-plus-13b-hf,55.2,53.2,73.5,48.8,45.3,18.571428571428573,https://huggingface.co/shibing624/chinese-alpaca-plus-13b-hf
wahaha1987/llama_7b_sharegpt94k_fastchat,55.0,53.2,76.9,44.6,45.3,10.0,https://huggingface.co/wahaha1987/llama_7b_sharegpt94k_fastchat
ehartford/WizardLM-13B-Uncensored,54.6,50.9,76.6,44.0,46.7,18.571428571428573,https://huggingface.co/ehartford/WizardLM-13B-Uncensored
xzuyn/MedicWizard-7B,54.4,53.5,78.4,44.6,41.3,10.0,https://huggingface.co/xzuyn/MedicWizard-7B
meta-llama/Llama-2-7b-hf,54.4,53.1,78.6,46.9,38.8,10.0,https://huggingface.co/meta-llama/Llama-2-7b-hf
medalpaca/medalpaca-7b,54.1,54.1,80.4,41.5,40.5,10.0,https://huggingface.co/medalpaca/medalpaca-7b
TheBloke/tulu-7B-fp16,54.1,50.2,77.0,47.6,41.6,10.0,https://huggingface.co/TheBloke/tulu-7B-fp16
TehVenom/Pygmalion-13b-Merged,53.8,56.5,80.0,42.9,35.9,18.571428571428573,https://huggingface.co/TehVenom/Pygmalion-13b-Merged
TheBloke/Wizard-Vicuna-7B-Uncensored-HF,53.2,53.4,78.8,37.1,43.5,10.0,https://huggingface.co/TheBloke/Wizard-Vicuna-7B-Uncensored-HF
ehartford/Wizard-Vicuna-7B-Uncensored,53.2,53.4,78.8,37.1,43.5,10.0,https://huggingface.co/ehartford/Wizard-Vicuna-7B-Uncensored
LLMs/AlpacaGPT4-7B-elina,53.2,55.0,78.8,37.5,41.5,10.0,https://huggingface.co/LLMs/AlpacaGPT4-7B-elina
TheBloke/airoboros-7b-gpt4-fp16,52.9,53.1,78.7,38.9,40.7,10.0,https://huggingface.co/TheBloke/airoboros-7b-gpt4-fp16
jondurbin/airoboros-7b,52.8,53.0,77.7,37.3,43.4,10.0,https://huggingface.co/jondurbin/airoboros-7b
psmathur/orca_mini_v2_7b,52.6,50.8,76.0,39.5,43.9,10.0,https://huggingface.co/psmathur/orca_mini_v2_7b
jphme/orca_mini_v2_ger_7b,52.5,49.8,75.5,39.1,45.7,10.0,https://huggingface.co/jphme/orca_mini_v2_ger_7b
notstoic/PygmalionCoT-7b,52.4,51.5,76.9,33.3,48.1,10.0,https://huggingface.co/notstoic/PygmalionCoT-7b
TheBloke/wizardLM-7B-HF,52.3,50.3,75.3,38.1,45.6,10.0,https://huggingface.co/TheBloke/wizardLM-7B-HF
TheBloke/guanaco-7B-HF,51.9,53.0,80.1,35.3,39.2,10.0,https://huggingface.co/TheBloke/guanaco-7B-HF
bigcode/starcoderplus,51.9,48.7,77.3,43.7,37.9,0.0,https://huggingface.co/bigcode/starcoderplus
Neko-Institute-of-Science/metharme-7b,51.9,53.7,78.6,35.9,39.2,10.0,https://huggingface.co/Neko-Institute-of-Science/metharme-7b
TehVenom/Pygmalion_AlpacaLora-7b,51.4,53.2,76.9,35.9,39.4,10.0,https://huggingface.co/TehVenom/Pygmalion_AlpacaLora-7b
wannaphong/openthaigpt-0.1.0-beta-full-model_for_open_llm_leaderboard,51.3,51.3,77.5,33.2,43.3,0.0,https://huggingface.co/wannaphong/openthaigpt-0.1.0-beta-full-model_for_open_llm_leaderboard
project-baize/baize-v2-7b,51.3,49.0,75.1,39.6,41.4,10.0,https://huggingface.co/project-baize/baize-v2-7b
openlm-research/open_llama_13b,50.7,49.7,71.1,43.8,38.3,18.571428571428573,https://huggingface.co/openlm-research/open_llama_13b
illuin/test-custom-llama,50.0,52.3,77.5,36.6,33.8,0.0,https://huggingface.co/illuin/test-custom-llama
mosaicml/mpt-7b-chat,50.0,46.5,75.5,37.6,40.2,10.0,https://huggingface.co/mosaicml/mpt-7b-chat
Neko-Institute-of-Science/pygmalion-7b,49.8,51.4,77.8,35.7,34.5,10.0,https://huggingface.co/Neko-Institute-of-Science/pygmalion-7b
llama-7b,49.7,51.0,77.8,35.7,34.3,10.0,
shibing624/chinese-llama-plus-13b-hf,49.7,46.2,71.9,40.7,39.9,18.571428571428573,https://huggingface.co/shibing624/chinese-llama-plus-13b-hf
TheBloke/Planner-7B-fp16,49.7,51.0,77.8,35.7,34.3,10.0,https://huggingface.co/TheBloke/Planner-7B-fp16
togethercomputer/GPT-JT-6B-v0,49.6,42.1,68.0,49.3,38.9,8.571428571428571,https://huggingface.co/togethercomputer/GPT-JT-6B-v0
ehartford/WizardLM-7B-Uncensored,49.5,47.9,73.1,35.4,41.5,10.0,https://huggingface.co/ehartford/WizardLM-7B-Uncensored
shibing624/chinese-alpaca-plus-7b-hf,49.4,49.2,70.5,38.4,39.7,10.0,https://huggingface.co/shibing624/chinese-alpaca-plus-7b-hf
mosaicml/mpt-7b-instruct,48.9,50.3,77.9,32.3,35.1,10.0,https://huggingface.co/mosaicml/mpt-7b-instruct
mosaicml/mpt-7b-instruct,48.7,50.2,77.8,31.9,35.0,10.0,https://huggingface.co/mosaicml/mpt-7b-instruct
facebook/galactica-30b,48.6,47.4,61.2,47.6,38.0,42.857142857142854,https://huggingface.co/facebook/galactica-30b
GeorgiaTechResearchInstitute/galpaca-30b,48.2,49.6,58.2,43.8,41.2,42.857142857142854,https://huggingface.co/GeorgiaTechResearchInstitute/galpaca-30b
THUDM/chatglm2-6b,48.2,38.8,59.0,46.7,48.1,8.571428571428571,https://huggingface.co/THUDM/chatglm2-6b
openlm-research/open_llama_7b_v2,48.2,43.7,72.2,41.3,35.5,10.0,https://huggingface.co/openlm-research/open_llama_7b_v2
togethercomputer/GPT-JT-6B-v1,48.1,40.9,67.1,47.2,37.1,8.571428571428571,https://huggingface.co/togethercomputer/GPT-JT-6B-v1
TheBloke/koala-7B-HF,48.0,47.1,73.6,25.5,46.0,10.0,https://huggingface.co/TheBloke/koala-7B-HF
baichuan-inc/Baichuan-7B,47.4,40.7,69.0,43.6,36.2,10.0,https://huggingface.co/baichuan-inc/Baichuan-7B
tiiuae/falcon-7b,47.0,47.9,78.1,27.8,34.3,10.0,https://huggingface.co/tiiuae/falcon-7b
togethercomputer/RedPajama-INCITE-7B-Instruct,46.9,44.1,72.0,37.6,34.0,10.0,https://huggingface.co/togethercomputer/RedPajama-INCITE-7B-Instruct
togethercomputer/RedPajama-INCITE-Instruct-7B-v0.1,46.9,44.1,72.0,37.6,34.0,10.0,https://huggingface.co/togethercomputer/RedPajama-INCITE-Instruct-7B-v0.1
h2oai/h2ogpt-gm-oasst1-en-1024-20b,46.7,48.0,72.8,26.0,39.9,28.57142857142857,https://huggingface.co/h2oai/h2ogpt-gm-oasst1-en-1024-20b
dvruette/gpt-neox-20b-full-precision,46.6,48.8,74.4,26.2,36.9,28.57142857142857,https://huggingface.co/dvruette/gpt-neox-20b-full-precision
dvruette/oasst-gpt-neox-20b-1000-steps,46.3,48.5,74.6,26.4,35.6,28.57142857142857,https://huggingface.co/dvruette/oasst-gpt-neox-20b-1000-steps
Salesforce/codegen-16B-nl,46.2,46.8,71.9,32.4,33.9,22.857142857142858,https://huggingface.co/Salesforce/codegen-16B-nl
facebook/opt-66b,46.2,46.3,76.2,27.0,35.4,94.28571428571428,https://huggingface.co/facebook/opt-66b
mosaicml/mpt-7b-storywriter,46.2,45.6,74.1,28.8,36.1,10.0,https://huggingface.co/mosaicml/mpt-7b-storywriter
Vmware/open-llama-7b-v2-open-instruct,46.2,39.8,70.3,35.2,39.5,10.0,https://huggingface.co/Vmware/open-llama-7b-v2-open-instruct
togethercomputer/GPT-NeoXT-Chat-Base-20B,46.0,45.6,74.0,29.9,34.5,28.57142857142857,https://huggingface.co/togethercomputer/GPT-NeoXT-Chat-Base-20B
h2oai/h2ogpt-oasst1-512-20b,45.8,46.9,72.8,26.2,37.5,28.57142857142857,https://huggingface.co/h2oai/h2ogpt-oasst1-512-20b
mosaicml/mpt-7b-storywriter,45.7,45.7,74.2,26.7,36.1,10.0,https://huggingface.co/mosaicml/mpt-7b-storywriter
OpenAssistant/oasst-sft-1-pythia-12b,45.4,46.4,70.0,26.2,39.2,17.142857142857142,https://huggingface.co/OpenAssistant/oasst-sft-1-pythia-12b
psmathur/orca_mini_7b,45.3,43.9,65.2,30.0,42.0,10.0,https://huggingface.co/psmathur/orca_mini_7b
h2oai/h2ogpt-gm-oasst1-multilang-1024-20b,45.2,47.4,72.6,26.4,34.4,28.57142857142857,https://huggingface.co/h2oai/h2ogpt-gm-oasst1-multilang-1024-20b
VMware/open-llama-0.7T-7B-open-instruct-v1.1,45.1,46.7,67.7,28.5,37.6,10.0,https://huggingface.co/VMware/open-llama-0.7T-7B-open-instruct-v1.1
dvruette/oasst-gpt-neox-20b-3000-steps,45.0,46.4,72.1,26.2,35.5,28.57142857142857,https://huggingface.co/dvruette/oasst-gpt-neox-20b-3000-steps
openlm-research/open_llama_7b,44.9,46.0,67.8,30.6,35.2,10.0,https://huggingface.co/openlm-research/open_llama_7b
facebook/opt-30b,44.8,43.2,74.1,26.6,35.2,42.857142857142854,https://huggingface.co/facebook/opt-30b
dvruette/oasst-pythia-12b-pretrained-sft,44.8,45.3,67.7,27.8,38.2,17.142857142857142,https://huggingface.co/dvruette/oasst-pythia-12b-pretrained-sft
digitous/GPT-R,44.7,41.2,66.9,36.5,34.2,0.0,https://huggingface.co/digitous/GPT-R
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,44.7,45.7,68.6,26.8,37.8,17.142857142857142,https://huggingface.co/OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5
togethercomputer/RedPajama-INCITE-7B-Base,44.6,46.2,71.6,27.7,33.0,10.0,https://huggingface.co/togethercomputer/RedPajama-INCITE-7B-Base
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,44.6,46.2,71.6,27.7,33.0,10.0,https://huggingface.co/togethercomputer/RedPajama-INCITE-Base-7B-v0.1
OpenAssistant/pythia-12b-sft-v8-7k-steps,44.4,44.0,70.3,26.6,36.5,17.142857142857142,https://huggingface.co/OpenAssistant/pythia-12b-sft-v8-7k-steps
KoboldAI/GPT-NeoX-20B-Erebus,44.3,45.5,72.8,26.8,32.1,28.57142857142857,https://huggingface.co/KoboldAI/GPT-NeoX-20B-Erebus
h2oai/h2ogpt-gm-oasst1-en-1024-12b,44.2,43.1,69.7,25.9,38.0,17.142857142857142,https://huggingface.co/h2oai/h2ogpt-gm-oasst1-en-1024-12b
AlekseyKorshuk/chatml-pyg-v1,44.2,37.9,63.3,32.8,42.6,0.0,https://huggingface.co/AlekseyKorshuk/chatml-pyg-v1
OpenAssistant/pythia-12b-sft-v8-2.5k-steps,44.1,42.3,70.1,27.4,36.8,17.142857142857142,https://huggingface.co/OpenAssistant/pythia-12b-sft-v8-2.5k-steps
togethercomputer/RedPajama-INCITE-Chat-7B-v0.1,44.0,42.1,70.8,26.9,36.1,10.0,https://huggingface.co/togethercomputer/RedPajama-INCITE-Chat-7B-v0.1
togethercomputer/RedPajama-INCITE-7B-Chat,44.0,42.1,70.8,26.9,36.1,10.0,https://huggingface.co/togethercomputer/RedPajama-INCITE-7B-Chat
digitous/Javelin-GPTJ,43.9,42.7,70.5,26.2,36.1,0.0,https://huggingface.co/digitous/Javelin-GPTJ
EleutherAI/gpt-neox-20b,43.9,45.7,73.5,25.0,31.6,28.57142857142857,https://huggingface.co/EleutherAI/gpt-neox-20b
digitous/Javelin-R,43.9,41.6,69.0,30.7,34.5,0.0,https://huggingface.co/digitous/Javelin-R
KoboldAI/GPT-NeoX-20B-Skein,43.8,45.0,72.7,26.0,31.6,28.57142857142857,https://huggingface.co/KoboldAI/GPT-NeoX-20B-Skein
h2oai/h2ogpt-oasst1-512-12b,43.7,42.3,70.2,26.0,36.4,17.142857142857142,https://huggingface.co/h2oai/h2ogpt-oasst1-512-12b
digitous/Javalion-R,43.7,41.7,68.0,30.8,34.4,0.0,https://huggingface.co/digitous/Javalion-R
KoboldAI/GPT-J-6B-Skein,43.7,42.6,68.7,24.9,38.7,8.571428571428571,https://huggingface.co/KoboldAI/GPT-J-6B-Skein
databricks/dolly-v2-12b,43.7,42.4,72.5,25.9,33.8,17.142857142857142,https://huggingface.co/databricks/dolly-v2-12b
