Model,Average,ARC(25-shot),HellaSwag(10-shot),MMLU(5-shot),TruthfulQA(0-shot),Parameters,URL
stabilityai/FreeWilly2,71.4,71.1,86.4,68.8,59.4,0.0,https://huggingface.co/stabilityai/FreeWilly2
stabilityai/FreeWilly1-Delta-SafeTensor,68.7,68.2,85.9,64.8,55.8,0.0,https://huggingface.co/stabilityai/FreeWilly1-Delta-SafeTensor
meta-llama/Llama-2-70b-hf,67.3,67.3,87.3,69.8,44.9,100.0,https://huggingface.co/meta-llama/Llama-2-70b-hf
upstage/llama-30b-instruct-2048,67.0,64.9,84.9,61.9,56.3,42.857142857142854,https://huggingface.co/upstage/llama-30b-instruct-2048
meta-llama/Llama-2-70b-chat-hf,66.8,64.6,85.9,63.9,52.8,100.0,https://huggingface.co/meta-llama/Llama-2-70b-chat-hf
lilloukas/GPlatty-30B,66.6,65.8,84.8,63.5,52.4,42.857142857142854,https://huggingface.co/lilloukas/GPlatty-30B
ariellee/SuperPlatty-30B,66.4,65.8,83.9,62.6,53.5,42.857142857142854,https://huggingface.co/ariellee/SuperPlatty-30B
CalderaAI/30B-Lazarus,66.1,64.9,84.3,56.5,58.6,42.857142857142854,https://huggingface.co/CalderaAI/30B-Lazarus
upstage/llama-30b-instruct,65.2,62.5,86.2,59.4,52.8,42.857142857142854,https://huggingface.co/upstage/llama-30b-instruct
ausboss/llama-30b-supercot,65.1,64.8,85.1,56.6,54.0,42.857142857142854,https://huggingface.co/ausboss/llama-30b-supercot
lilloukas/Platypus-30B,64.6,64.6,84.2,64.2,45.4,42.857142857142854,https://huggingface.co/lilloukas/Platypus-30B
openaccess-ai-collective/manticore-30b-chat-pyg-alpha,64.4,64.2,84.4,57.5,51.6,42.857142857142854,https://huggingface.co/openaccess-ai-collective/manticore-30b-chat-pyg-alpha
openaccess-ai-collective/hippogriff-30b-chat,64.3,64.5,85.2,59.1,48.4,42.857142857142854,https://huggingface.co/openaccess-ai-collective/hippogriff-30b-chat
concedo/Vicuzard-30B-Uncensored,64.3,63.0,83.7,58.2,52.3,42.857142857142854,https://huggingface.co/concedo/Vicuzard-30B-Uncensored
huggyllama/llama-65b,64.2,63.5,86.1,63.9,43.4,92.85714285714286,https://huggingface.co/huggyllama/llama-65b
llama-65b,64.2,63.5,86.1,63.9,43.4,92.85714285714286,
MetaIX/GPT4-X-Alpasta-30b,64.0,63.1,83.6,57.7,51.5,42.857142857142854,https://huggingface.co/MetaIX/GPT4-X-Alpasta-30b
dsvv-cair/alpaca-cleaned-llama-30b-bf16,64.0,61.8,85.1,57.5,51.5,42.857142857142854,https://huggingface.co/dsvv-cair/alpaca-cleaned-llama-30b-bf16
Yhyu13/oasst-rlhf-2-llama-30b-7k-steps-hf,63.6,61.3,83.8,57.9,51.2,42.857142857142854,https://huggingface.co/Yhyu13/oasst-rlhf-2-llama-30b-7k-steps-hf
TheBloke/Wizard-Vicuna-30B-Uncensored-fp16,63.6,62.1,83.4,58.2,50.8,42.857142857142854,https://huggingface.co/TheBloke/Wizard-Vicuna-30B-Uncensored-fp16
Aeala/VicUnlocked-alpaca-30b,63.6,61.9,83.8,57.6,51.0,42.857142857142854,https://huggingface.co/Aeala/VicUnlocked-alpaca-30b
ehartford/Wizard-Vicuna-30B-Uncensored,63.6,62.1,83.4,58.2,50.8,42.857142857142854,https://huggingface.co/ehartford/Wizard-Vicuna-30B-Uncensored
tiiuae/falcon-40b-instruct,63.4,61.6,84.3,55.4,52.5,57.14285714285714,https://huggingface.co/tiiuae/falcon-40b-instruct
Aeala/GPT4-x-AlpacaDente-30b,63.4,62.1,82.8,56.2,52.7,42.857142857142854,https://huggingface.co/Aeala/GPT4-x-AlpacaDente-30b
MayaPH/GodziLLa-30B,63.4,61.5,82.1,54.2,55.9,42.857142857142854,https://huggingface.co/MayaPH/GodziLLa-30B
timdettmers/guanaco-33b-merged,63.0,62.5,84.5,53.8,51.2,47.14285714285714,https://huggingface.co/timdettmers/guanaco-33b-merged
ehartford/WizardLM-30B-Uncensored,62.9,60.2,82.9,56.8,51.6,42.857142857142854,https://huggingface.co/ehartford/WizardLM-30B-Uncensored
digitous/Alpacino30b,62.6,62.7,85.0,58.5,44.2,42.857142857142854,https://huggingface.co/digitous/Alpacino30b
Monero/WizardLM-Uncensored-SuperCOT-StoryTelling-30b,62.4,59.6,79.9,54.4,55.9,42.857142857142854,https://huggingface.co/Monero/WizardLM-Uncensored-SuperCOT-StoryTelling-30b
elinas/chronos-33b,62.1,62.2,83.5,55.9,46.7,47.14285714285714,https://huggingface.co/elinas/chronos-33b
huggyllama/llama-65b,62.1,57.6,84.3,63.4,43.0,92.85714285714286,https://huggingface.co/huggyllama/llama-65b
llama-65b,62.1,57.6,84.3,63.4,43.0,92.85714285714286,
TheBloke/OpenAssistant-SFT-7-Llama-30B-HF,61.9,60.6,82.2,57.9,46.9,42.857142857142854,https://huggingface.co/TheBloke/OpenAssistant-SFT-7-Llama-30B-HF
Aeala/GPT4-x-AlpacaDente2-30b,61.8,60.6,81.8,56.6,48.4,42.857142857142854,https://huggingface.co/Aeala/GPT4-x-AlpacaDente2-30b
llama-30b,61.7,61.3,84.7,58.5,42.3,42.857142857142854,
Yhyu13/llama-30B-hf-openassitant,61.7,61.3,84.7,58.5,42.3,42.857142857142854,https://huggingface.co/Yhyu13/llama-30B-hf-openassitant
tiiuae/falcon-40b,61.5,61.9,85.3,57.0,41.7,57.14285714285714,https://huggingface.co/tiiuae/falcon-40b
TheBloke/dromedary-65b-lora-HF,61.5,61.6,82.5,63.1,38.8,92.85714285714286,https://huggingface.co/TheBloke/dromedary-65b-lora-HF
mosaicml/mpt-30b-chat,61.2,58.7,82.5,51.2,52.4,42.857142857142854,https://huggingface.co/mosaicml/mpt-30b-chat
mosaicml/mpt-30b-chat,61.1,58.3,82.4,51.2,52.6,42.857142857142854,https://huggingface.co/mosaicml/mpt-30b-chat
ehartford/based-30b,60.9,63.9,85.7,58.3,35.7,42.857142857142854,https://huggingface.co/ehartford/based-30b
TheBloke/dromedary-65b-lora-HF,60.4,58.1,80.8,63.3,39.3,92.85714285714286,https://huggingface.co/TheBloke/dromedary-65b-lora-HF
TheBloke/wizardLM-13B-1.0-fp16,60.4,57.3,80.9,52.9,50.5,18.571428571428573,https://huggingface.co/TheBloke/wizardLM-13B-1.0-fp16
TheBloke/UltraLM-13B-fp16,60.3,57.6,80.2,51.9,51.6,18.571428571428573,https://huggingface.co/TheBloke/UltraLM-13B-fp16
