Model,Average,ARC(25-shot),HellaSwag(10-shot),MMLU(5-shot),TruthfulQA(0-shot),Parameters,URL
ValiantLabs/ShiningValiant,74.17,73.0,87.9,71.0,64.9,0.0,https://huggingface.co/ValiantLabs/ShiningValiant
ICBU-NPU/FashionGPT-70B-V1.2,74.11,73.0,88.2,70.1,65.2,38.88888888888889,https://huggingface.co/ICBU-NPU/FashionGPT-70B-V1.2
sequelbox/StellarBright,74.1,73.0,87.8,71.2,64.5,0.0,https://huggingface.co/sequelbox/StellarBright
Riiid/sheep-duck-llama-2-70b-v1.1,74.07,73.0,87.8,70.8,64.6,38.88888888888889,https://huggingface.co/Riiid/sheep-duck-llama-2-70b-v1.1
AIDC-ai-business/Marcoroni-70B-v1,74.06,73.6,87.6,70.7,64.4,38.88888888888889,https://huggingface.co/AIDC-ai-business/Marcoroni-70B-v1
ICBU-NPU/FashionGPT-70B-V1.1,74.05,71.8,88.2,71.0,65.3,38.88888888888889,https://huggingface.co/ICBU-NPU/FashionGPT-70B-V1.1
adonlee/LLaMA_2_70B_LoRA,73.9,72.7,87.6,70.8,64.5,38.88888888888889,https://huggingface.co/adonlee/LLaMA_2_70B_LoRA
uni-tianyan/Uni-TianYan,73.81,72.1,87.4,69.9,65.8,0.0,https://huggingface.co/uni-tianyan/Uni-TianYan
Riiid/sheep-duck-llama-2,73.69,72.4,87.8,70.8,63.8,0.0,https://huggingface.co/Riiid/sheep-duck-llama-2
Riiid/sheep-duck-llama-2,73.67,72.3,87.8,70.8,63.8,0.0,https://huggingface.co/Riiid/sheep-duck-llama-2
fangloveskari/ORCA_LLaMA_70B_QLoRA,73.4,72.3,87.7,70.2,63.4,38.88888888888889,https://huggingface.co/fangloveskari/ORCA_LLaMA_70B_QLoRA
ICBU-NPU/FashionGPT-70B-V1,73.26,71.1,87.3,70.7,63.9,38.88888888888889,https://huggingface.co/ICBU-NPU/FashionGPT-70B-V1
oh-yeontaek/llama-2-70B-LoRA-assemble-v2,73.22,71.8,86.9,69.4,64.8,38.88888888888889,https://huggingface.co/oh-yeontaek/llama-2-70B-LoRA-assemble-v2
budecosystem/genz-70b,73.21,71.4,88.0,70.8,62.7,38.88888888888889,https://huggingface.co/budecosystem/genz-70b
oh-yeontaek/llama-2-70B-LoRA-assemble,73.2,71.8,86.8,69.4,64.8,38.88888888888889,https://huggingface.co/oh-yeontaek/llama-2-70B-LoRA-assemble
garage-bAInd/Platypus2-70B-instruct,73.13,71.8,87.9,70.5,62.3,38.88888888888889,https://huggingface.co/garage-bAInd/Platypus2-70B-instruct
upstage/SOLAR-0-70b-16bit,72.95,71.1,87.9,70.6,62.2,38.88888888888889,https://huggingface.co/upstage/SOLAR-0-70b-16bit
fangloveskari/Platypus_QLoRA_LLaMA_70b,72.94,72.1,87.5,71.0,61.2,38.88888888888889,https://huggingface.co/fangloveskari/Platypus_QLoRA_LLaMA_70b
