Model,Average,ARC(25-shot),HellaSwag(10-shot),MMLU(5-shot),TruthfulQA(0-shot),Parameters,URL
garage-bAInd/Camel-Platypus2-70B,71.36,70.1,87.7,69.8,57.8,38.88888888888889,https://huggingface.co/garage-bAInd/Camel-Platypus2-70B
migtissera/Synthia-70B-v1.1,71.34,70.0,87.1,70.3,57.8,38.88888888888889,https://huggingface.co/migtissera/Synthia-70B-v1.1
migtissera/Synthia-70B,71.32,69.4,87.1,68.9,59.8,38.88888888888889,https://huggingface.co/migtissera/Synthia-70B
lloorree/jfdslijsijdgis,70.99,69.6,87.0,69.2,58.2,0.0,https://huggingface.co/lloorree/jfdslijsijdgis
psmathur/model_101,70.97,68.7,86.4,69.9,58.8,0.0,https://huggingface.co/psmathur/model_101
augtoma/qCammel-70-x,70.97,68.3,87.9,70.2,57.5,0.0,https://huggingface.co/augtoma/qCammel-70-x
dfurman/llama-2-70b-dolphin-peft,70.76,69.6,86.8,69.2,57.4,38.88888888888889,https://huggingface.co/dfurman/llama-2-70b-dolphin-peft
migtissera/Synthia-70B-v1.2b,70.71,68.8,87.6,68.8,57.7,38.88888888888889,https://huggingface.co/migtissera/Synthia-70B-v1.2b
jondurbin/airoboros-l2-70b-2.1,70.66,70.6,86.8,69.2,56.0,38.88888888888889,https://huggingface.co/jondurbin/airoboros-l2-70b-2.1
TheBloke/llama-2-70b-Guanaco-QLoRA-fp16,70.63,68.3,88.3,70.2,55.7,38.88888888888889,https://huggingface.co/TheBloke/llama-2-70b-Guanaco-QLoRA-fp16
quantumaikr/QuantumLM-llama2-70B-Korean-LoRA,70.61,70.6,86.4,69.4,56.1,38.88888888888889,https://huggingface.co/quantumaikr/QuantumLM-llama2-70B-Korean-LoRA
quantumaikr/quantumairk-llama-2-70B-instruct,70.56,70.3,87.0,70.5,54.4,38.88888888888889,https://huggingface.co/quantumaikr/quantumairk-llama-2-70B-instruct
psmathur/model_420,70.55,70.1,87.7,70.4,54.0,0.0,https://huggingface.co/psmathur/model_420
psmathur/model_51,70.41,68.4,86.7,69.3,57.2,0.0,https://huggingface.co/psmathur/model_51
garage-bAInd/Camel-Platypus2-70B,70.37,69.3,87.3,69.0,55.9,38.88888888888889,https://huggingface.co/garage-bAInd/Camel-Platypus2-70B
TheBloke/Airoboros-L2-70B-2.1-GPTQ,70.34,70.4,86.5,68.9,55.6,38.88888888888889,https://huggingface.co/TheBloke/Airoboros-L2-70B-2.1-GPTQ
quantumaikr/llama-2-70B-chat,70.25,67.6,86.9,69.2,57.3,38.88888888888889,https://huggingface.co/quantumaikr/llama-2-70B-chat
jordiclive/Llama-2-70b-oasst-1-200,69.04,67.7,87.2,70.0,51.3,38.88888888888889,https://huggingface.co/jordiclive/Llama-2-70b-oasst-1-200
WizardLM/WizardMath-70B-V1.0,69.02,67.9,86.5,68.9,52.8,38.88888888888889,https://huggingface.co/WizardLM/WizardMath-70B-V1.0
jondurbin/airoboros-l2-70b-gpt4-2.0,68.99,68.2,87.9,70.1,49.8,38.88888888888889,https://huggingface.co/jondurbin/airoboros-l2-70b-gpt4-2.0
OpenLemur/lemur-70b-chat-v1,68.82,67.0,85.7,66.0,56.6,38.88888888888889,https://huggingface.co/OpenLemur/lemur-70b-chat-v1
meta-math/MetaMath-70B-V1.0,68.78,68.0,86.8,69.3,51.0,38.88888888888889,https://huggingface.co/meta-math/MetaMath-70B-V1.0
tiiuae/falcon-180B,68.74,69.8,89.0,70.5,45.7,100.0,https://huggingface.co/tiiuae/falcon-180B
tiiuae/falcon-180B,68.7,69.7,89.0,70.4,45.7,100.0,https://huggingface.co/tiiuae/falcon-180B
stabilityai/StableBeluga1-Delta,68.67,68.2,85.9,64.8,55.8,0.0,https://huggingface.co/stabilityai/StableBeluga1-Delta
psmathur/test_42_70b,68.67,68.3,87.6,70.0,48.8,38.88888888888889,https://huggingface.co/psmathur/test_42_70b
meta-llama/Llama-2-70b-hf,67.35,67.3,87.3,69.8,44.9,38.88888888888889,https://huggingface.co/meta-llama/Llama-2-70b-hf
TheBloke/Llama-2-70B-fp16,67.35,67.3,87.3,69.8,44.9,38.88888888888889,https://huggingface.co/TheBloke/Llama-2-70B-fp16
Weyaxi/llama-2-alpacagpt4-1000step,67.3,66.4,84.5,62.8,55.6,0.0,https://huggingface.co/Weyaxi/llama-2-alpacagpt4-1000step
WizardLM/WizardLM-70B-V1.0,67.3,64.1,85.4,65.0,54.8,38.88888888888889,https://huggingface.co/WizardLM/WizardLM-70B-V1.0
simsim314/WizardLM-70B-V1.0-HF,67.3,64.1,85.4,65.0,54.8,38.88888888888889,https://huggingface.co/simsim314/WizardLM-70B-V1.0-HF
WizardLM/WizardLM-70B-V1.0,67.28,64.1,85.4,64.8,54.8,38.88888888888889,https://huggingface.co/WizardLM/WizardLM-70B-V1.0
simsim314/WizardLM-70B-V1.0-HF,67.28,64.1,85.4,64.8,54.8,38.88888888888889,https://huggingface.co/simsim314/WizardLM-70B-V1.0-HF
openbmb/UltraLM-65b,67.26,67.1,85.0,63.5,53.5,36.11111111111111,https://huggingface.co/openbmb/UltraLM-65b
psmathur/model_420_preview,67.19,67.1,87.3,69.8,44.6,0.0,https://huggingface.co/psmathur/model_420_preview
WizardLM/WizardLM-70B-V1.0,67.18,65.4,84.4,64.0,54.8,38.88888888888889,https://huggingface.co/WizardLM/WizardLM-70B-V1.0
simsim314/WizardLM-70B-V1.0-HF,67.18,65.4,84.4,64.0,54.8,38.88888888888889,https://huggingface.co/simsim314/WizardLM-70B-V1.0-HF
OpenBuddy/openbuddy-llama2-70b-v10.1-bf16,67.15,61.9,83.1,67.4,56.2,38.88888888888889,https://huggingface.co/OpenBuddy/openbuddy-llama2-70b-v10.1-bf16
upstage/llama-30b-instruct-2048,67.02,64.9,84.9,61.9,56.3,16.666666666666664,https://huggingface.co/upstage/llama-30b-instruct-2048
